game_title;image_url;genre;short_description;player_mode
Street Fighter 6;https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg;Fighting;Revamped fighting mechanics meet a new, engaging single-player world tour mode.;Both
Hunt: Showdown 1896;https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg;Shooter;1895 Louisiana swamps. Hunt monsters and rival bounty hunters in tense PvPvE matches.;Multiplayer
Wuthering Waves;https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg;Action;Master a unique combat system in a vibrant, post-apocalyptic open world adventure.;Both
Arma Reforger;https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg;Sandbox;Experience large-scale combat on a dynamic island with authentic military simulation.;Both
Lethal Company;https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg;Horror;Cooperative horror where teams collect scrap on dangerous moons to meet quotas.;Multiplayer
Arena Breakout: Infinite;https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg;Shooter;Gear up, loot, and fight for survival in intense PvP extraction battles.;Multiplayer
Zenless Zone Zero;https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg;Action;Explore a stylish post-apocalyptic city, battle bizarre enemies in fast-paced combat.;Both
ARK: Survival Ascended;https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg;Sandbox;Survive a prehistoric world, tame dinosaurs, build bases in this survival epic.;Both
Sid Meier's Civilization VII;https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg;Strategy;Lead your civilization through the ages, conquering nations and shaping history.;Both
SMITE 2;https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg;Action;Experience the next generation of god-fueled action MOBA battles.;Multiplayer
Throne and Liberty;https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg;MMORPG;Massive open-world MMORPG blending thrilling action with strategic guild warfare.;Both
Enshrouded;https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg;Survival;Explore a voxel-based continent, survive the shroud, and rebuild civilization.;Both
Poppy Playtime;https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg;Horror;Navigate an abandoned toy factory filled with vengeful toys in this puzzle-horror game.;Singleplayer
It Takes Two;https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg;Adventure;Embark on a crazy journey with a friend in this co-op only platform adventure.;Multiplayer
DYNASTY WARRIORS: ORIGINS;https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg;Action;Battle through ancient China's Three Kingdoms era in massive hack-and-slash combat.;Both
NHL 25;https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg;Sports;Hit the ice with enhanced gameplay mechanics and realistic hockey simulation.;Both
Balatro;https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg;Card;Roguelike deck-builder where poker hands meet mystical jokers in strategic gameplay.;Singleplayer
MiSide;https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg;Horror;Psychological horror adventure exploring a distorted reality with your virtual companion.;Singleplayer
Metaphor: ReFantazio;https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg;RPG;Fantasy JRPG from Atlus featuring turn-based combat and social simulation elements.;Singleplayer
Indiana Jones and the Great Circle;https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg;Adventure;Join Indy on a globe-trotting adventure to stop sinister forces seeking ancient power.;Singleplayer
Hell Let Loose;https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg;Shooter;Experience authentic WWII combat in 50v50 multiplayer battles with strategic warfare.;Multiplayer
Super Mario 64;https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg;Platformer;Revolutionary 3D platformer where Mario explores Princess Peach's castle to save her.;Singleplayer
S.T.A.L.K.E.R. 2: Heart of Chornobyl;https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg;Shooter;Survive the Chornobyl Exclusion Zone in this atmospheric open-world survival shooter.;Singleplayer
STALCRAFT: X;https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg;MMORPG;Online survival shooter set in the Chernobyl Exclusion Zone with RPG elements.;Multiplayer
Supermarket Together;https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg;Simulation;Manage your own supermarket with friends in this cooperative retail simulation.;Both
Ragnarok Online 2;https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg;MMORPG;Classic MMORPG sequel featuring Norse mythology and anime-inspired visuals.;Multiplayer
The Outlast Trials;https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg;Horror;Survive twisted experiments in Cold War era co-op psychological horror trials.;Both
Detroit: Become Human;https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg;Adventure;Shape the fate of androids in a branching narrative about consciousness and freedom.;Singleplayer
EA Sports UFC 2;https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg;Sports;Step into the Octagon with improved striking and ground game in MMA simulation.;Both
Palia;https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg;Simulation;Cozy community sim MMO focused on farming, crafting, and building relationships.;Multiplayer
Green Hell;https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg;Survival;Survive the Amazon rainforest using real survival techniques and psychological resilience.;Both
Microsoft Flight Simulator 2024;https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg;Simulation;Experience the world in unprecedented detail with advanced flight simulation technology.;Both
Teamfight Tactics;https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg;Strategy;Auto-battler where you draft champions and position them for strategic combat.;Multiplayer
No Man's Sky;https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg;Sandbox;Explore infinite procedurally generated universe with survival and base-building elements.;Both
Farming Simulator 25;https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg;Simulation;Modern agriculture simulation with realistic farming equipment and crop management.;Both
Tom Clancy's The Division 2;https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg;Shooter;Save post-pandemic Washington D.C. in this online action RPG looter shooter.;Both
Super Smash Bros. Ultimate;https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg;Fighting;Ultimate fighting game featuring every fighter ever with massive crossover battles.;Both
Dying Light;https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg;Survival;Parkour through zombie-infested city by day, survive the nightmare after dark.;Both
Sniper Elite: Resistance;https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg;Shooter;Tactical WWII sniping behind enemy lines with authentic ballistics and stealth.;Both
New World: Aeternum;https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg;MMORPG;Explore supernatural island Aeternum in this colonial-era fantasy MMORPG adventure.;Multiplayer
Hello Kitty Island Adventure;https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg;Adventure;Explore a whimsical island with Hello Kitty and friends in this cozy adventure.;Singleplayer
The Headliners;https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg;Sports;Arcade-style tennis game with colorful characters and over-the-top special moves.;Both
Mir Tankov;https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg;Action;Tank warfare MMO featuring realistic combat and strategic territorial control.;Multiplayer
The Binding of Isaac: Repentance;https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg;Roguelike;Definitive edition of the iconic roguelike with religious themes and twisted humor.;Singleplayer
Exoborne;https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg;Shooter;Extraction shooter set in apocalyptic U.S. with extreme weather and tactical combat.;Multiplayer
Grand Theft Auto: San Andreas;https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg;Action;Classic open-world crime saga following CJ's rise through 1990s California gangs.;Singleplayer
Infinity Nikki;https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg;Adventure;Open-world dress-up adventure combining fashion with platforming and exploration.;Singleplayer
Borderlands 3;https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg;Shooter;Mayhem-filled looter shooter with billions of guns across multiple planets.;Both
Knight Online;https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg;MMORPG;Classic PvP-focused MMORPG featuring large-scale nation wars and guild battles.;Multiplayer
Supermarket Simulator;https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg;Simulation;Build and manage your dream supermarket from stocking shelves to expanding empire.;Singleplayer
